path,name,type,location,size_mb
/Users/steven/Downloads/google-cloud-sdk/lib/googlecloudsdk/generated_clients/apis/marketplacesolutions,marketplacesolutions,directory,Downloads,0
/Users/steven/Downloads/google-cloud-sdk/lib/third_party/botocore/data/marketplacecommerceanalytics,marketplacecommerceanalytics,directory,Downloads,0
/Users/steven/Downloads/google-cloud-sdk/lib/third_party/botocore/data/marketplace-agreement,marketplace-agreement,directory,Downloads,0
/Users/steven/Downloads/google-cloud-sdk/lib/third_party/botocore/data/meteringmarketplace,meteringmarketplace,directory,Downloads,0
/Users/steven/Downloads/google-cloud-sdk/lib/third_party/botocore/data/marketplace-entitlement,marketplace-entitlement,directory,Downloads,0
/Users/steven/Downloads/google-cloud-sdk/lib/third_party/botocore/data/marketplace-deployment,marketplace-deployment,directory,Downloads,0
/Users/steven/Downloads/google-cloud-sdk/lib/third_party/botocore/data/marketplace-catalog,marketplace-catalog,directory,Downloads,0
/Users/steven/Downloads/Compressed/sunova-mcp-main,sunova-mcp-main,directory,Downloads,0
/Users/steven/Downloads/Compressed/sunova-mcp-main/sunova-visualize,sunova-visualize,directory,Downloads,0
/Users/steven/Downloads/Compressed/Takeout/Drive/avatararts.github.io,avatararts.github.io,directory,Downloads,0
/Users/steven/Downloads/Compressed/Takeout/Drive/avatararts.github.io,avatararts.github.io,directory,Downloads,0
/Users/steven/Downloads/Compressed/Takeout/Drive/avatararts.github.io,avatararts.github.io,directory,Downloads,0
/Users/steven/Downloads/Compressed/Takeout/Drive/Noteshelf3 Backup/suNo,suNo,directory,Downloads,0
/Users/steven/Downloads/Compressed/Takeout/Drive/My MacBook Pro/nocTurneMeLoDieS,nocTurneMeLoDieS,directory,Downloads,0
/Users/steven/Downloads/Compressed/Takeout/Drive/My MacBook Pro/nocTurneMeLoDieS/suno-analytics,suno-analytics,directory,Downloads,0
/Users/steven/Downloads/Compressed/Takeout/Drive/My MacBook Pro/nocTurneMeLoDieS/suno-35,suno-35,directory,Downloads,0
/Users/steven/Downloads/Compressed/Takeout/Drive/My MacBook Pro/nocTurneMeLoDieS/suno,suno,directory,Downloads,0
/Users/steven/Downloads/Compressed/Takeout/Drive/My MacBook Pro/Documents/nocTurneMeLoDieS,nocTurneMeLoDieS,directory,Downloads,0
/Users/steven/Downloads/Compressed/Takeout/Drive/My MacBook Pro/Documents/nocTurneMeLoDieS/suno-analytics,suno-analytics,directory,Downloads,0
/Users/steven/Downloads/Compressed/Takeout/Drive/My MacBook Pro/Documents/nocTurneMeLoDieS/suno-35,suno-35,directory,Downloads,0
/Users/steven/Downloads/Compressed/Takeout/Drive/My MacBook Pro/Documents/nocTurneMeLoDieS/suno,suno,directory,Downloads,0
/Users/steven/Downloads/Compressed/Takeout/Drive/My MacBook Pro/NocTurnE-meLoDieS/suno,suno,directory,Downloads,0
/Users/steven/Downloads/qForge/QuantumForgeLabs 1ce36221d8b28034b1a2d4812ed9b43b,QuantumForgeLabs 1ce36221d8b28034b1a2d4812ed9b43b,directory,Downloads,0
/Users/steven/Pictures/pixel-hearts,pixel-hearts,directory,Pictures,0
/Users/steven/Pictures/hogwarts,hogwarts,directory,Pictures,0
/Users/steven/Pictures/storybook/crown_and_thorn_site/avatararts.smmall.cloud,avatararts.smmall.cloud,directory,Pictures,0
/Users/steven/Pictures/storybook/crown_and_thorn_site/avatararts.smmall.cloud,avatararts.smmall.cloud,directory,Pictures,0
/Users/steven/Pictures/storybook/crown_and_thorn_site/avatararts.smmall.cloud,avatararts.smmall.cloud,directory,Pictures,0
/Users/steven/Pictures/Photos Library.photoslibrary/resources/smartsharing,smartsharing,directory,Pictures,0
/Users/steven/Music/nocTurneMeLoDieS,nocTurneMeLoDieS,directory,Music,0
/Users/steven/Music/nocTurneMeLoDieS/suno-htmll,suno-htmll,directory,Music,0
/Users/steven/Music/nocTurneMeLoDieS/suno-exports,suno-exports,directory,Music,0
/Users/steven/Music/nocTurneMeLoDieS/suno-json,suno-json,directory,Music,0
/Users/steven/Music/nocTurneMeLoDieS/suno-md,suno-md,directory,Music,0
/Users/steven/Music/nocTurneMeLoDieS/suno-csv,suno-csv,directory,Music,0
/Users/steven/Music/nocTurneMeLoDieS/suno-analytics-seo,suno-analytics-seo,directory,Music,0
/Users/steven/Music/nocTurneMeLoDieS/suno,suno,directory,Music,0
/Users/steven/Music/nocTurneMeLoDieS/suno-python,suno-python,directory,Music,0
/Users/steven/Music/nocTurneMeLoDieS/suno-archive,suno-archive,directory,Music,0
/Users/steven/Music/nocTurneMeLoDieS/.history/DOCS/avatararts,avatararts,directory,Music,0
/Users/steven/Music/nocTurneMeLoDieS/.history/DOCS/avatararts,avatararts,directory,Music,0
/Users/steven/Music/nocTurneMeLoDieS/.history/DOCS/avatararts,avatararts,directory,Music,0
/Users/steven/Music/nocTurneMeLoDieS/suno-analytics-seo/suno-music,suno-music,directory,Music,0
/Users/steven/Music/nocTurneMeLoDieS/suno-analytics-seo/suno-scraper-typescript,suno-scraper-typescript,directory,Music,0
/Users/steven/Music/nocTurneMeLoDieS/suno-analytics-seo/suno-api,suno-api,directory,Music,0
/Users/steven/Music/nocTurneMeLoDieS/suno-analytics-seo/suno-analytics-jupyter,suno-analytics-jupyter,directory,Music,0
/Users/steven/Music/nocTurneMeLoDieS/suno-analytics-seo/suno-to-google-sheets,suno-to-google-sheets,directory,Music,0
/Users/steven/Music/nocTurneMeLoDieS/Discography/Heads_and_Hearts242,Heads_and_Hearts242,directory,Music,0
/Users/steven/Music/nocTurneMeLoDieS/Discography/RELEASES/Best_of_AvaTar_ArTs_Vol1,Best_of_AvaTar_ArTs_Vol1,directory,Music,0
/Users/steven/Music/nocTurneMeLoDieS/Discography/RELEASES/Best_of_AvaTar_ArTs_Vol1,Best_of_AvaTar_ArTs_Vol1,directory,Music,0
/Users/steven/Music/nocTurneMeLoDieS/Discography/RELEASES/Rebel_Hearts,Rebel_Hearts,directory,Music,0
/Users/steven/Music/nocTurneMeLoDieS/Discography/RELEASES/Best_of_AvaTar_ArTs_Vol2,Best_of_AvaTar_ArTs_Vol2,directory,Music,0
/Users/steven/Music/nocTurneMeLoDieS/Discography/RELEASES/Best_of_AvaTar_ArTs_Vol2,Best_of_AvaTar_ArTs_Vol2,directory,Music,0
/Users/steven/Music/nocTurneMeLoDieS/Discography/Blues_in_the_Alley/Sammy_Midnight_Reckoning248_Suno_Remix_Alt248,Sammy_Midnight_Reckoning248_Suno_Remix_Alt248,directory,Music,0
/Users/steven/Music/nocTurneMeLoDieS/Discography/Junkyard_Symphony/Junkyard_symphony_from_hearts0354,Junkyard_symphony_from_hearts0354,directory,Music,0
/Users/steven/Music/nocTurneMeLoDieS/Discography/Junkyard_Symphony/Junkyard_symphony_from_hearts,Junkyard_symphony_from_hearts,directory,Music,0
/Users/steven/Music/nocTurneMeLoDieS/Discography/Junkyard_Symphony/Junkyard_symphony_from_hearts/Junkyard_symphony_from_hearts354,Junkyard_symphony_from_hearts354,directory,Music,0
/Users/steven/Music/nocTurneMeLoDieS/Discography/Junkyard_Symphony/Junkyard_symphony_from_hearts/AUDIO_Junkyard_symphony_from_hearts354,AUDIO_Junkyard_symphony_from_hearts354,directory,Music,0
/Users/steven/Music/nocTurneMeLoDieS/Discography/MoonLightAlley/MoonlyAlley_240_Suno_Remix0240,MoonlyAlley_240_Suno_Remix0240,directory,Music,0
/Users/steven/Music/nocTurneMeLoDieS/Discography/Heavenly_Hands/HeavenlyHands_jingle125,HeavenlyHands_jingle125,directory,Music,0
/Users/steven/Music/nocTurneMeLoDieS/Discography/Heavenly_Hands/HeavenlyHands_jingle44_2044,HeavenlyHands_jingle44_2044,directory,Music,0
/Users/steven/Music/nocTurneMeLoDieS/Discography/Heavenly_Hands/HeavenlyHands_jingle44_3044,HeavenlyHands_jingle44_3044,directory,Music,0
/Users/steven/Music/nocTurneMeLoDieS/Discography/Heavenly_Hands/HeavenlyHands_jingle44045,HeavenlyHands_jingle44045,directory,Music,0
/Users/steven/Music/nocTurneMeLoDieS/Discography/Heavenly_Hands/HeavenlyHands_jingle151,HeavenlyHands_jingle151,directory,Music,0
/Users/steven/Music/nocTurneMeLoDieS/Discography/Heavenly_Hands/HeavenlyHands_jingle21021,HeavenlyHands_jingle21021,directory,Music,0
/Users/steven/Music/nocTurneMeLoDieS/Discography/Heavenly_Hands/HeavenlyHands_jingle52052,HeavenlyHands_jingle52052,directory,Music,0
/Users/steven/Music/nocTurneMeLoDieS/suno/suno-extracts,suno-extracts,directory,Music,0
