filename,html_assets_path,html_assets_size_mb,html_assets_mtime,duplicate_path,duplicate_size_mb,duplicate_mtime,location,size_diff_mb,larger_version,recommendation
grouped_gallery.html,html-assets/grouped_gallery.html,2.2708,2025-01-02 12:46:30,ai-sites/disco/images/photos/grouped_gallery.html,0.0739,2025-05-08 05:56:04,./ai-sites/disco/images/photos,2.1969,html-assets,"Keep html-assets (larger, likely more complete)"
index.html,html-assets/sites-navigator/index.html,0.8239,2025-11-27 10:36:04,marketplace/products/hookmark-pro/src/pages/Popup/index.html,0.0002,2025-12-26 02:12:23,./marketplace/products/hookmark-pro/src/pages/Popup,0.8236,html-assets,"Keep html-assets (larger, likely more complete)"
index.html,html-assets/sites-navigator/index.html,0.8239,2025-11-27 10:36:04,marketplace/products/hookmark-pro/src/pages/Newtab/index.html,0.0005,2025-12-26 02:12:23,./marketplace/products/hookmark-pro/src/pages/Newtab,0.8234,html-assets,"Keep html-assets (larger, likely more complete)"
index.html,html-assets/sites-navigator/index.html,0.8239,2025-11-27 10:36:04,organized_intelligent/Uncategorized/index.html,0.0018,2025-10-19 23:19:39,./organized_intelligent/Uncategorized,0.822,html-assets,"Keep html-assets (larger, likely more complete)"
index.html,html-assets/sites-navigator/index.html,0.8239,2025-11-27 10:36:04,ai-sites/heavenlyHands/cleanconnect-pro/frontend/public/index.html,0.0024,2026-01-01 12:48:44,./ai-sites/heavenlyHands/cleanconnect-pro/frontend/public,0.8215,html-assets,"Keep html-assets (larger, likely more complete)"
index.html,html-assets/sites-navigator/index.html,0.8239,2025-11-27 10:36:04,ai-sites/disco/mp3/html-grid/index.html,0.0032,2025-04-05 15:50:38,./ai-sites/disco/mp3/html-grid,0.8207,html-assets,"Keep html-assets (larger, likely more complete)"
index.html,html-assets/sites-navigator/index.html,0.8239,2025-11-27 10:36:04,ai-sites/Gallery Generator/city-16-9/public/index.html,0.0034,2025-10-19 23:39:36,./ai-sites/Gallery Generator/city-16-9/public,0.8204,html-assets,"Keep html-assets (larger, likely more complete)"
index.html,html-assets/sites-navigator/index.html,0.8239,2025-11-27 10:36:04,avatararts/avatararts-site/index.html,0.0044,2025-10-24 23:45:20,./avatararts/avatararts-site,0.8195,html-assets,"Keep html-assets (larger, likely more complete)"
index.html,html-assets/sites-navigator/index.html,0.8239,2025-11-27 10:36:04,ai-sites/Gallery_Code_Project/city-16-9/index.html,0.006,2025-10-19 23:40:58,./ai-sites/Gallery_Code_Project/city-16-9,0.8179,html-assets,"Keep html-assets (larger, likely more complete)"
index.html,html-assets/sites-navigator/index.html,0.8239,2025-11-27 10:36:04,ai-sites/Gallery Generator/city-16-9/index.html,0.0061,2025-10-19 23:39:18,./ai-sites/Gallery Generator/city-16-9,0.8178,html-assets,"Keep html-assets (larger, likely more complete)"
index.html,html-assets/sites-navigator/index.html,0.8239,2025-11-27 10:36:04,ai-sites/Gallery_Code_Project/disco/index.html,0.0062,2025-10-19 23:41:00,./ai-sites/Gallery_Code_Project/disco,0.8177,html-assets,"Keep html-assets (larger, likely more complete)"
index.html,html-assets/sites-navigator/index.html,0.8239,2025-11-27 10:36:04,ai-sites/portfolio/html/Portfolio/index.html,0.0068,2025-10-16 22:01:29,./ai-sites/portfolio/html/Portfolio,0.8171,html-assets,"Keep html-assets (larger, likely more complete)"
index.html,html-assets/sites-navigator/index.html,0.8239,2025-11-27 10:36:04,quantumforge-complete/index.html,0.0068,2026-01-01 12:48:56,./quantumforge-complete,0.8171,html-assets,"Keep html-assets (larger, likely more complete)"
index.html,html-assets/sites-navigator/index.html,0.8239,2025-11-27 10:36:04,ai-sites/Gallery_Code_Project/dalle/index.html,0.0072,2025-10-19 23:40:59,./ai-sites/Gallery_Code_Project/dalle,0.8167,html-assets,"Keep html-assets (larger, likely more complete)"
index.html,html-assets/sites-navigator/index.html,0.8239,2025-11-27 10:36:04,ai-sites/AvaTarArTs/avatararts-Gallery_Analysis_Project/index.html,0.0074,2025-10-19 23:41:00,./ai-sites/AvaTarArTs/avatararts-Gallery_Analysis_Project,0.8165,html-assets,"Keep html-assets (larger, likely more complete)"
index.html,html-assets/sites-navigator/index.html,0.8239,2025-11-27 10:36:04,ai-sites/Gallery_Code_Project/alchemy/index.html,0.0076,2025-10-19 23:40:59,./ai-sites/Gallery_Code_Project/alchemy,0.8163,html-assets,"Keep html-assets (larger, likely more complete)"
index.html,html-assets/sites-navigator/index.html,0.8239,2025-11-27 10:36:04,ai-sites/AvaTarArTs/avatararts-tools/public/index.html,0.0076,2025-10-24 10:18:22,./ai-sites/AvaTarArTs/avatararts-tools/public,0.8163,html-assets,"Keep html-assets (larger, likely more complete)"
index.html,html-assets/sites-navigator/index.html,0.8239,2025-11-27 10:36:04,ai-sites/AvaTarArTs/avatararts-gallery/public/index.html,0.0076,2025-10-24 10:18:22,./ai-sites/AvaTarArTs/avatararts-gallery/public,0.8163,html-assets,"Keep html-assets (larger, likely more complete)"
index.html,html-assets/sites-navigator/index.html,0.8239,2025-11-27 10:36:04,ai-sites/AvaTarArTs/avatararts-hub/public/index.html,0.0076,2025-10-24 10:18:22,./ai-sites/AvaTarArTs/avatararts-hub/public,0.8163,html-assets,"Keep html-assets (larger, likely more complete)"
index.html,html-assets/sites-navigator/index.html,0.8239,2025-11-27 10:36:04,ai-sites/AvaTarArTs/avatararts-portfolio/public/index.html,0.0076,2025-10-24 10:18:22,./ai-sites/AvaTarArTs/avatararts-portfolio/public,0.8163,html-assets,"Keep html-assets (larger, likely more complete)"
index.html,html-assets/sites-navigator/index.html,0.8239,2025-11-27 10:36:04,ai-sites/AvaTarArTs/avatararts.org/public/index.html,0.0076,2025-10-24 10:18:22,./ai-sites/AvaTarArTs/avatararts.org/public,0.8163,html-assets,"Keep html-assets (larger, likely more complete)"
index.html,html-assets/sites-navigator/index.html,0.8239,2025-11-27 10:36:04,avatararts/index.html,0.0077,2025-11-03 19:17:42,./avatararts,0.8162,html-assets,"Keep html-assets (larger, likely more complete)"
index.html,html-assets/sites-navigator/index.html,0.8239,2025-11-27 10:36:04,ai-sites/Gallery_Code_Project/python/index.html,0.0078,2025-10-19 23:40:59,./ai-sites/Gallery_Code_Project/python,0.8161,html-assets,"Keep html-assets (larger, likely more complete)"
index.html,html-assets/sites-navigator/index.html,0.8239,2025-11-27 10:36:04,Dr_Adu_GainesvillePFS_SEO_Project/index.html,0.0086,2025-10-24 10:22:29,./Dr_Adu_GainesvillePFS_SEO_Project,0.8152,html-assets,"Keep html-assets (larger, likely more complete)"
index.html,html-assets/sites-navigator/index.html,0.8239,2025-11-27 10:36:04,ai-sites/AvaTarArTs/avatararts.org/index.html,0.0089,2025-10-19 21:03:46,./ai-sites/AvaTarArTs/avatararts.org,0.815,html-assets,"Keep html-assets (larger, likely more complete)"
index.html,html-assets/sites-navigator/index.html,0.8239,2025-11-27 10:36:04,Dr_Adu_GainesvillePFS_SEO_Project/01_Project_Files/DrAdu-SEO-OPTIMIZED/public/index.html,0.0099,2025-12-01 12:20:28,./Dr_Adu_GainesvillePFS_SEO_Project/01_Project_Files/DrAdu-SEO-OPTIMIZED/public,0.814,html-assets,"Keep html-assets (larger, likely more complete)"
index.html,html-assets/sites-navigator/index.html,0.8239,2025-11-27 10:36:04,heavenlyhands-complete/website/index.html,0.0104,2026-01-01 12:48:54,./heavenlyhands-complete/website,0.8134,html-assets,"Keep html-assets (larger, likely more complete)"
index.html,html-assets/sites-navigator/index.html,0.8239,2025-11-27 10:36:04,ai-sites/disco/mp3/The Sound of Ancestors/index.html,0.0133,2025-05-05 02:14:58,./ai-sites/disco/mp3/The Sound of Ancestors,0.8106,html-assets,"Keep html-assets (larger, likely more complete)"
index.html,html-assets/sites-navigator/index.html,0.8239,2025-11-27 10:36:04,HeavenlyHandfs/index.html,0.0214,2025-11-27 20:00:12,./HeavenlyHandfs,0.8025,html-assets,"Keep html-assets (larger, likely more complete)"
index.html,html-assets/sites-navigator/index.html,0.8239,2025-11-27 10:36:04,SEO Content Optimization Suite/_build/html/index.html,0.0297,2025-12-01 19:51:35,./SEO Content Optimization Suite/_build/html,0.7941,html-assets,"Keep html-assets (larger, likely more complete)"
index.html,html-assets/sites-navigator/index.html,0.8239,2025-11-27 10:36:04,ai-sites/monetization/~/avatararts-deployment/ai-voice-agents/index.html,0.0309,2025-10-26 16:29:22,./ai-sites/monetization/~/avatararts-deployment/ai-voice-agents,0.7929,html-assets,"Keep html-assets (larger, likely more complete)"
index.html,html-assets/sites-navigator/index.html,0.8239,2025-11-27 10:36:04,Dr_Adu_GainesvillePFS_SEO_Project/01_Project_Files/Dr_Adu_GainesvillePFS_SEO_Project/15_Website_Hosting/index.html,0.0357,2025-10-19 23:41:09,./Dr_Adu_GainesvillePFS_SEO_Project/01_Project_Files/Dr_Adu_GainesvillePFS_SEO_Project/15_Website_Hosting,0.7881,html-assets,"Keep html-assets (larger, likely more complete)"
index.html,html-assets/sites-navigator/index.html,0.8239,2025-11-27 10:36:04,ai-sites/monetization/~/avatararts-deployment/heavenlyhands/index.html,0.0395,2025-10-26 17:35:34,./ai-sites/monetization/~/avatararts-deployment/heavenlyhands,0.7843,html-assets,"Keep html-assets (larger, likely more complete)"
index.html,html-assets/sites-navigator/index.html,0.8239,2025-11-27 10:36:04,ai-sites/disco/mp3/index.html,0.1507,2025-06-02 09:34:30,./ai-sites/disco/mp3,0.6732,html-assets,"Keep html-assets (larger, likely more complete)"
index.html,html-assets/sites-navigator/index.html,0.8239,2025-11-27 10:36:04,josephrosadomd/coming-soon/index.html,0.2699,2025-11-27 20:04:52,./josephrosadomd/coming-soon,0.5539,html-assets,"Keep html-assets (larger, likely more complete)"
index.html,html-assets/sites-navigator/index.html,0.8239,2025-11-27 10:36:04,josephrosadomd/category/ptsd/index.html,0.3723,2025-11-27 20:04:59,./josephrosadomd/category/ptsd,0.4516,html-assets,"Keep html-assets (larger, likely more complete)"
index.html,html-assets/sites-navigator/index.html,0.8239,2025-11-27 10:36:04,josephrosadomd/category/dr-rosado/index.html,0.3727,2025-11-27 20:04:59,./josephrosadomd/category/dr-rosado,0.4512,html-assets,"Keep html-assets (larger, likely more complete)"
index.html,html-assets/sites-navigator/index.html,0.8239,2025-11-27 10:36:04,josephrosadomd/testimonials/index.html,0.3745,2025-11-27 20:04:23,./josephrosadomd/testimonials,0.4494,html-assets,"Keep html-assets (larger, likely more complete)"
index.html,html-assets/sites-navigator/index.html,0.8239,2025-11-27 10:36:04,josephrosadomd/category/health-tips/page/2/index.html,0.375,2025-11-27 20:04:54,./josephrosadomd/category/health-tips/page/2,0.4489,html-assets,"Keep html-assets (larger, likely more complete)"
index.html,html-assets/sites-navigator/index.html,0.8239,2025-11-27 10:36:04,josephrosadomd/category/prp/index.html,0.3751,2025-11-27 20:04:56,./josephrosadomd/category/prp,0.4488,html-assets,"Keep html-assets (larger, likely more complete)"
index.html,html-assets/sites-navigator/index.html,0.8239,2025-11-27 10:36:04,josephrosadomd/category/medical-marijuana/page/2/index.html,0.3752,2025-11-27 20:04:55,./josephrosadomd/category/medical-marijuana/page/2,0.4487,html-assets,"Keep html-assets (larger, likely more complete)"
index.html,html-assets/sites-navigator/index.html,0.8239,2025-11-27 10:36:04,josephrosadomd/category/holistic-wellness/index.html,0.3754,2025-11-27 20:04:58,./josephrosadomd/category/holistic-wellness,0.4485,html-assets,"Keep html-assets (larger, likely more complete)"
index.html,html-assets/sites-navigator/index.html,0.8239,2025-11-27 10:36:04,josephrosadomd/category/general-medicine/index.html,0.3759,2025-11-27 20:04:56,./josephrosadomd/category/general-medicine,0.4479,html-assets,"Keep html-assets (larger, likely more complete)"
index.html,html-assets/sites-navigator/index.html,0.8239,2025-11-27 10:36:04,josephrosadomd/category/support-resources/index.html,0.3794,2025-11-27 20:04:53,./josephrosadomd/category/support-resources,0.4444,html-assets,"Keep html-assets (larger, likely more complete)"
index.html,html-assets/sites-navigator/index.html,0.8239,2025-11-27 10:36:04,josephrosadomd/faqs/index.html,0.3845,2025-11-27 20:04:44,./josephrosadomd/faqs,0.4394,html-assets,"Keep html-assets (larger, likely more complete)"
index.html,html-assets/sites-navigator/index.html,0.8239,2025-11-27 10:36:04,josephrosadomd/category/anxiety-depression/page/2/index.html,0.3846,2025-11-27 20:05:00,./josephrosadomd/category/anxiety-depression/page/2,0.4392,html-assets,"Keep html-assets (larger, likely more complete)"
index.html,html-assets/sites-navigator/index.html,0.8239,2025-11-27 10:36:04,josephrosadomd/privacy-policy/index.html,0.3852,2025-11-27 20:04:29,./josephrosadomd/privacy-policy,0.4386,html-assets,"Keep html-assets (larger, likely more complete)"
index.html,html-assets/sites-navigator/index.html,0.8239,2025-11-27 10:36:04,josephrosadomd/category/ketamine/page/4/index.html,0.3874,2025-11-27 20:04:57,./josephrosadomd/category/ketamine/page/4,0.4365,html-assets,"Keep html-assets (larger, likely more complete)"
index.html,html-assets/sites-navigator/index.html,0.8239,2025-11-27 10:36:04,josephrosadomd/blog/index.html,0.3877,2025-11-27 20:05:04,./josephrosadomd/blog,0.4362,html-assets,"Keep html-assets (larger, likely more complete)"
index.html,html-assets/sites-navigator/index.html,0.8239,2025-11-27 10:36:04,josephrosadomd/make-appointment/index.html,0.3881,2025-11-27 20:04:34,./josephrosadomd/make-appointment,0.4357,html-assets,"Keep html-assets (larger, likely more complete)"
index.html,html-assets/sites-navigator/index.html,0.8239,2025-11-27 10:36:04,josephrosadomd/blog/4/index.html,0.3885,2025-11-27 20:05:04,./josephrosadomd/blog/4,0.4353,html-assets,"Keep html-assets (larger, likely more complete)"
index.html,html-assets/sites-navigator/index.html,0.8239,2025-11-27 10:36:04,josephrosadomd/blog/3/index.html,0.3886,2025-11-27 20:05:04,./josephrosadomd/blog/3,0.4353,html-assets,"Keep html-assets (larger, likely more complete)"
index.html,html-assets/sites-navigator/index.html,0.8239,2025-11-27 10:36:04,josephrosadomd/blog/2/index.html,0.3887,2025-11-27 20:05:04,./josephrosadomd/blog/2,0.4352,html-assets,"Keep html-assets (larger, likely more complete)"
index.html,html-assets/sites-navigator/index.html,0.8239,2025-11-27 10:36:04,josephrosadomd/category/health-tips/index.html,0.3891,2025-11-27 20:04:54,./josephrosadomd/category/health-tips,0.4348,html-assets,"Keep html-assets (larger, likely more complete)"
index.html,html-assets/sites-navigator/index.html,0.8239,2025-11-27 10:36:04,josephrosadomd/category/medical-marijuana/index.html,0.3894,2025-11-27 20:04:55,./josephrosadomd/category/medical-marijuana,0.4345,html-assets,"Keep html-assets (larger, likely more complete)"
index.html,html-assets/sites-navigator/index.html,0.8239,2025-11-27 10:36:04,josephrosadomd/category/ketamine/index.html,0.3894,2025-11-27 20:04:57,./josephrosadomd/category/ketamine,0.4344,html-assets,"Keep html-assets (larger, likely more complete)"
index.html,html-assets/sites-navigator/index.html,0.8239,2025-11-27 10:36:04,josephrosadomd/category/anxiety-depression/index.html,0.3895,2025-11-27 20:05:00,./josephrosadomd/category/anxiety-depression,0.4344,html-assets,"Keep html-assets (larger, likely more complete)"
index.html,html-assets/sites-navigator/index.html,0.8239,2025-11-27 10:36:04,josephrosadomd/blog/5/index.html,0.3897,2025-11-27 20:05:05,./josephrosadomd/blog/5,0.4341,html-assets,"Keep html-assets (larger, likely more complete)"
index.html,html-assets/sites-navigator/index.html,0.8239,2025-11-27 10:36:04,josephrosadomd/terms-conditions/index.html,0.3904,2025-11-27 20:04:23,./josephrosadomd/terms-conditions,0.4335,html-assets,"Keep html-assets (larger, likely more complete)"
index.html,html-assets/sites-navigator/index.html,0.8239,2025-11-27 10:36:04,josephrosadomd/category/ketamine/page/2/index.html,0.3912,2025-11-27 20:04:58,./josephrosadomd/category/ketamine/page/2,0.4327,html-assets,"Keep html-assets (larger, likely more complete)"
index.html,html-assets/sites-navigator/index.html,0.8239,2025-11-27 10:36:04,josephrosadomd/category/ketamine/page/3/index.html,0.3914,2025-11-27 20:04:58,./josephrosadomd/category/ketamine/page/3,0.4325,html-assets,"Keep html-assets (larger, likely more complete)"
index.html,html-assets/sites-navigator/index.html,0.8239,2025-11-27 10:36:04,josephrosadomd/does-platelet-rich-plasma-work-for-neuropathy/index.html,0.4059,2025-11-27 20:04:46,./josephrosadomd/does-platelet-rich-plasma-work-for-neuropathy,0.418,html-assets,"Keep html-assets (larger, likely more complete)"
index.html,html-assets/sites-navigator/index.html,0.8239,2025-11-27 10:36:04,josephrosadomd/resources-for-mental-illness/index.html,0.4062,2025-11-27 20:04:27,./josephrosadomd/resources-for-mental-illness,0.4177,html-assets,"Keep html-assets (larger, likely more complete)"
index.html,html-assets/sites-navigator/index.html,0.8239,2025-11-27 10:36:04,josephrosadomd/cbd-autism-children/index.html,0.4091,2025-11-27 20:04:53,./josephrosadomd/cbd-autism-children,0.4147,html-assets,"Keep html-assets (larger, likely more complete)"
index.html,html-assets/sites-navigator/index.html,0.8239,2025-11-27 10:36:04,josephrosadomd/is-ketamine-safe/index.html,0.4109,2025-11-27 20:04:38,./josephrosadomd/is-ketamine-safe,0.413,html-assets,"Keep html-assets (larger, likely more complete)"
index.html,html-assets/sites-navigator/index.html,0.8239,2025-11-27 10:36:04,josephrosadomd/coping-with-anxiety-and-depression-during-thanksgiving/index.html,0.412,2025-11-27 20:04:51,./josephrosadomd/coping-with-anxiety-and-depression-during-thanksgiving,0.4119,html-assets,"Keep html-assets (larger, likely more complete)"
index.html,html-assets/sites-navigator/index.html,0.8239,2025-11-27 10:36:04,josephrosadomd/5-simple-steps-toward-a-healthier-you/index.html,0.4121,2025-11-27 20:05:08,./josephrosadomd/5-simple-steps-toward-a-healthier-you,0.4117,html-assets,"Keep html-assets (larger, likely more complete)"
index.html,html-assets/sites-navigator/index.html,0.8239,2025-11-27 10:36:04,josephrosadomd/partners-collaborations/index.html,0.4174,2025-11-27 20:04:30,./josephrosadomd/partners-collaborations,0.4065,html-assets,"Keep html-assets (larger, likely more complete)"
index.html,html-assets/sites-navigator/index.html,0.8239,2025-11-27 10:36:04,josephrosadomd/cbg-vs-cbd/index.html,0.4186,2025-11-27 20:04:52,./josephrosadomd/cbg-vs-cbd,0.4053,html-assets,"Keep html-assets (larger, likely more complete)"
index.html,html-assets/sites-navigator/index.html,0.8239,2025-11-27 10:36:04,josephrosadomd/ketamine-for-depression/index.html,0.4197,2025-11-27 20:04:36,./josephrosadomd/ketamine-for-depression,0.4041,html-assets,"Keep html-assets (larger, likely more complete)"
index.html,html-assets/sites-navigator/index.html,0.8239,2025-11-27 10:36:04,josephrosadomd/candidates-for-ketamine/index.html,0.4202,2025-11-27 20:05:02,./josephrosadomd/candidates-for-ketamine,0.4036,html-assets,"Keep html-assets (larger, likely more complete)"
index.html,html-assets/sites-navigator/index.html,0.8239,2025-11-27 10:36:04,josephrosadomd/depression-in-remission/index.html,0.4203,2025-11-27 20:04:48,./josephrosadomd/depression-in-remission,0.4035,html-assets,"Keep html-assets (larger, likely more complete)"
index.html,html-assets/sites-navigator/index.html,0.8239,2025-11-27 10:36:04,josephrosadomd/ketamine-addiction-explained/index.html,0.4205,2025-11-27 20:04:37,./josephrosadomd/ketamine-addiction-explained,0.4033,html-assets,"Keep html-assets (larger, likely more complete)"
index.html,html-assets/sites-navigator/index.html,0.8239,2025-11-27 10:36:04,josephrosadomd/prp-therapy-for-joint-pain/index.html,0.4217,2025-11-27 20:04:28,./josephrosadomd/prp-therapy-for-joint-pain,0.4021,html-assets,"Keep html-assets (larger, likely more complete)"
index.html,html-assets/sites-navigator/index.html,0.8239,2025-11-27 10:36:04,josephrosadomd/prp-for-pain/index.html,0.4224,2025-11-27 20:04:29,./josephrosadomd/prp-for-pain,0.4015,html-assets,"Keep html-assets (larger, likely more complete)"
index.html,html-assets/sites-navigator/index.html,0.8239,2025-11-27 10:36:04,josephrosadomd/ketamine-treatment-duration/index.html,0.4224,2025-11-27 20:04:35,./josephrosadomd/ketamine-treatment-duration,0.4015,html-assets,"Keep html-assets (larger, likely more complete)"
index.html,html-assets/sites-navigator/index.html,0.8239,2025-11-27 10:36:04,josephrosadomd/support-resources-for-men/index.html,0.4228,2025-11-27 20:04:24,./josephrosadomd/support-resources-for-men,0.4011,html-assets,"Keep html-assets (larger, likely more complete)"
index.html,html-assets/sites-navigator/index.html,0.8239,2025-11-27 10:36:04,josephrosadomd/resources/index.html,0.4241,2025-11-27 20:04:28,./josephrosadomd/resources,0.3998,html-assets,"Keep html-assets (larger, likely more complete)"
index.html,html-assets/sites-navigator/index.html,0.8239,2025-11-27 10:36:04,josephrosadomd/essential-self-care-resources-for-african-american-women/index.html,0.4245,2025-11-27 20:04:45,./josephrosadomd/essential-self-care-resources-for-african-american-women,0.3994,html-assets,"Keep html-assets (larger, likely more complete)"
index.html,html-assets/sites-navigator/index.html,0.8239,2025-11-27 10:36:04,josephrosadomd/medical-marijuana-certification-online/index.html,0.4245,2025-11-27 20:04:32,./josephrosadomd/medical-marijuana-certification-online,0.3994,html-assets,"Keep html-assets (larger, likely more complete)"
index.html,html-assets/sites-navigator/index.html,0.8239,2025-11-27 10:36:04,josephrosadomd/depression-at-work/index.html,0.4245,2025-11-27 20:04:50,./josephrosadomd/depression-at-work,0.3994,html-assets,"Keep html-assets (larger, likely more complete)"
index.html,html-assets/sites-navigator/index.html,0.8239,2025-11-27 10:36:04,josephrosadomd/conditions-ketamine-treat/index.html,0.4254,2025-11-27 20:04:51,./josephrosadomd/conditions-ketamine-treat,0.3985,html-assets,"Keep html-assets (larger, likely more complete)"
index.html,html-assets/sites-navigator/index.html,0.8239,2025-11-27 10:36:04,josephrosadomd/tired-from-depression/index.html,0.4257,2025-11-27 20:04:22,./josephrosadomd/tired-from-depression,0.3982,html-assets,"Keep html-assets (larger, likely more complete)"
index.html,html-assets/sites-navigator/index.html,0.8239,2025-11-27 10:36:04,josephrosadomd/dysthymia-vs-major-depression/index.html,0.4265,2025-11-27 20:04:45,./josephrosadomd/dysthymia-vs-major-depression,0.3974,html-assets,"Keep html-assets (larger, likely more complete)"
index.html,html-assets/sites-navigator/index.html,0.8239,2025-11-27 10:36:04,josephrosadomd/depression-genetic-risk/index.html,0.427,2025-11-27 20:04:49,./josephrosadomd/depression-genetic-risk,0.3969,html-assets,"Keep html-assets (larger, likely more complete)"
index.html,html-assets/sites-navigator/index.html,0.8239,2025-11-27 10:36:04,josephrosadomd/getting-up-when-depressed/index.html,0.4269,2025-11-27 20:04:43,./josephrosadomd/getting-up-when-depressed,0.3969,html-assets,"Keep html-assets (larger, likely more complete)"
index.html,html-assets/sites-navigator/index.html,0.8239,2025-11-27 10:36:04,josephrosadomd/cannabis-card-benefits/index.html,0.4275,2025-11-27 20:05:02,./josephrosadomd/cannabis-card-benefits,0.3963,html-assets,"Keep html-assets (larger, likely more complete)"
index.html,html-assets/sites-navigator/index.html,0.8239,2025-11-27 10:36:04,josephrosadomd/at-home-ketamine/index.html,0.4283,2025-11-27 20:05:06,./josephrosadomd/at-home-ketamine,0.3956,html-assets,"Keep html-assets (larger, likely more complete)"
index.html,html-assets/sites-navigator/index.html,0.8239,2025-11-27 10:36:04,josephrosadomd/contact-us/index.html,0.4286,2025-11-27 20:04:51,./josephrosadomd/contact-us,0.3953,html-assets,"Keep html-assets (larger, likely more complete)"
index.html,html-assets/sites-navigator/index.html,0.8239,2025-11-27 10:36:04,josephrosadomd/depression-after-surgery/index.html,0.429,2025-11-27 20:04:50,./josephrosadomd/depression-after-surgery,0.3949,html-assets,"Keep html-assets (larger, likely more complete)"
index.html,html-assets/sites-navigator/index.html,0.8239,2025-11-27 10:36:04,josephrosadomd/annual-physicals-for-children-are-important/index.html,0.4295,2025-11-27 20:05:07,./josephrosadomd/annual-physicals-for-children-are-important,0.3944,html-assets,"Keep html-assets (larger, likely more complete)"
index.html,html-assets/sites-navigator/index.html,0.8239,2025-11-27 10:36:04,josephrosadomd/hrt-and-depression/index.html,0.4295,2025-11-27 20:04:39,./josephrosadomd/hrt-and-depression,0.3943,html-assets,"Keep html-assets (larger, likely more complete)"
index.html,html-assets/sites-navigator/index.html,0.8239,2025-11-27 10:36:04,josephrosadomd/avoid-overconsumption-build-tolerance/index.html,0.4303,2025-11-27 20:05:05,./josephrosadomd/avoid-overconsumption-build-tolerance,0.3935,html-assets,"Keep html-assets (larger, likely more complete)"
index.html,html-assets/sites-navigator/index.html,0.8239,2025-11-27 10:36:04,josephrosadomd/adjustment-vs-depression/index.html,0.4313,2025-11-27 20:05:07,./josephrosadomd/adjustment-vs-depression,0.3925,html-assets,"Keep html-assets (larger, likely more complete)"
index.html,html-assets/sites-navigator/index.html,0.8239,2025-11-27 10:36:04,josephrosadomd/psilocybin-therapy-newmexico/index.html,0.4316,2025-11-27 20:04:28,./josephrosadomd/psilocybin-therapy-newmexico,0.3922,html-assets,"Keep html-assets (larger, likely more complete)"
